"","title","artist","price","classification","url"
"786","Peter Falk","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/peter-falk-greg-joens.jpg"
"787","John Rys-davies","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/john-rys-davies-greg-joens.jpg"
"788","Len Cariou","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/len-cariou-greg-joens.jpg"
"789","Gabby Hayes","Greg Joens","$500","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-gabby-hayes-greg-joens.jpg"
"790","Colin Hanks","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/colin-hanks-greg-joens.jpg"
"791","Fred Allen","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/fred-allen-greg-joens.jpg"
"792","Ballet Sketch Dying Swan","Beverly Brown Prints","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ballet-sketch-dying-swan-beverly-brown-prints.jpg"
"793","London Mayor","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/london-mayor-greg-joens.jpg"
"794","You Only Live Nine Times","Eric Fan","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/you-only-live-nine-times-eric-fan.jpg"
"795","Beneath","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/beneath-giuseppe-cristiano.jpg"
"796","Line Art Lady","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/line-art-lady-giuseppe-cristiano.jpg"
"797","Trump","Ylli Haruni","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/trump-ylli-haruni.jpg"
"798","Soupy Quote","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/soupy-quote-greg-joens.jpg"
"799","Gang Girl","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/gang-girl-giuseppe-cristiano.jpg"
"800","Plissken","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/plissken-giuseppe-cristiano.jpg"
"801","Lady D","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/lady-d-giuseppe-cristiano.jpg"
"802","Theese Boots...","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/theese-boots-giuseppe-cristiano.jpg"
"803","Leviathan","Eric Fan","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/leviathan-eric-fan.jpg"
"804","Ballet Sketch Two Dancers Arms Overhead","Beverly Brown Prints","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ballet-sketch-two-dancers-arms-overhead-beverly-brown-prints.jpg"
"805","Ballet Sketch Open Arms","Beverly Brown Prints","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ballet-sketch-open-arms-beverly-brown-prints.jpg"
"806","Rachel Mcadams","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/rachel-mcadams-greg-joens.jpg"
"807","A Clockwork Orange","Eric Fan","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-clockwork-orange-eric-fan.jpg"
"808","Trump, Short Fingers Pirate With Ryan, The Bird","Ylli Haruni","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/trump-short-fingers-pirate-with-ryan-the-bird-ylli-haruni.jpg"
"809","Bear Bryant","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/bear-bryant-greg-joens.jpg"
"810","Jimmy Stewart","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jimmy-stewart-greg-joens.jpg"
"811","Sean Pertwee","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-sean-pertwee-greg-joens.jpg"
"812","Young Ben Mckenzie","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/young-ben-mckenzie-greg-joens.jpg"
"813","Dick Van Patten","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/dick-van-patten-greg-joens.jpg"
"814","Bruno Mars","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/bruno-mars-greg-joens.jpg"
"815","Pink","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/pink-giuseppe-cristiano.jpg"
"816","Nikola Tesla","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/nikola-tesla-greg-joens.jpg"
"817","Leonard Mccoy","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/leonard-mccoy-greg-joens.jpg"
"818","Joe Schlesinger","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/joe-schlesinger-greg-joens.jpg"
"819","Jensen Ackles","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jensen-ackles-greg-joens.jpg"
"820","Sacagawea","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/sacagawea-greg-joens.jpg"
"821","Lincoln","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-lincoln-greg-joens.jpg"
"822","Mazouz","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/mazouz-greg-joens.jpg"
"823","Paul Robeson","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/paul-robeson-greg-joens.jpg"
