"","artist","title","price","classification","url"
"107","Amanda Clark","Moonlite And Hare","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/moonlite-and-hare-amanda-clark.jpg"
"108","Greg Olsen","Denim To Lace","$47","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/denim-to-lace-greg-olsen.jpg"
"109","Ryan Burton","Infinite M","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/infinite-m-ryan-burton.jpg"
"110","Cindy Thornton","Hold On Tight","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/hold-on-tight-cindy-thornton.jpg"
"111","Greg Olsen","Bon Voyage","$47","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/bon-voyage-greg-olsen.jpg"
"112","Douglas Simonson","Lemon Squeeze","$22","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/lemon-squeeze-douglas-simonson.jpg"
"113","Jacque Hudson","I Don't Wanna Be A Tree","$19","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/i-dont-wanna-be-a-tree-jacque-hudson-roate.jpg"
"114","Art James West","Evening Shadows On A Round Taos House","$54","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/evening-shadows-on-a-round-taos-house-art-james-west.jpg"
"115","Lyse Anthony","Bright Stars","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/bright-stars-lyse-anthony.jpg"
"116","Robert Papp","Figs","$28","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/figs-robert-papp.jpg"
"117","Larry Poncho Brown","Celebrate Freedom","$10,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/celebrate-freedom-larry-poncho-brown.jpg"
"118","Sue Halstenberg","Victorian Lady In A Rose Hat","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/victorian-lady-in-a-rose-hat-sue-halstenberg.jpg"
"119","The Art of Marsha Charlebois","Graffiti Hearts","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/graffiti-hearts-marsha-charlebois.jpg"
"120","Robin Moline","Summer On The Farm","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/1-summer-on-the-farm-robin-moline.jpg"
"121","Talya Johnson","Common Threads - Divine Feminine In Silk Red Dress","$2,400","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/common-threads-divine-feminine-in-silk-red-dress-talya-johnson.jpg"
"122","Ron Carson","Gabby Carried A Lot For Us All","$4,500","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/gabby-carried-a-lot-for-us-all-ron-carson.jpg"
"123","Pam Talley","Tuscan Persimmon","$20","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tuscan-persimmon-pam-talley.jpg"
"124","Shijun Munns","Image Of Tibet","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/image-of-tibet-shijun-munns.jpg"
"125","Sam Jennings","Samnation10-04","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/samnation10-04-sam-jennings.jpg"
"126","Tom Fedro - Fidostudio","Flawless","$399","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/flawless-tom-fedro-fidostudio.jpg"
"127","Matthew Schenk","Basquibot","$22","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/basquibot-matthew-schenk.jpg"
"128","Michael Myers","3 Witches","$24","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/3-witches-michael-myers.jpg"
"129","Autogiro Illustration","Bad Rich Man","$18","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/bad-rich-man-autogiro-illustration.jpg"
"130","Shiloh Sophia McCloud","Finding Paradise","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/finding-paradise-shiloh-sophia-mccloud.jpg"
"131","Michael Lang","Harmony","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/harmony-michael-lang.jpg"
"132","Andrew King","Martin Goes To The Beach","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/martin-goes-to-the-beach-andrew-king.jpg"
"133","Paul Davidson","Phoenix Goblineer","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/phoenix-goblineer-paul-davidson.jpg"
"134","James Christopher Hill","Steampunk Raygun","$25","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/steampunk-raygun-james-christopher-hill.jpg"
"135","Dorian Dutrieux","Steam Heritage","$14","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/steam-heritage-dorianne-dutrieux.jpg"
"136","Catherine Twomey","Poll Meet Atlas Axis","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/poll-meet-atlas-axis-catherine-twomey.jpg"
"137","Katherine Young-Beck","Star Fish","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/star-fish-katherine-young-beck.jpg"
