"","artist","title","price","classification","url"
"2375","Matthew Diffee","We Got A Call About A Consultant","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/50-untitled-matthew-diffee.jpg"
"2376","David Borchart","We'll Have To Pick This Up Later. My Plane","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/2-untitled-david-borchart.jpg"
"2377","Drew Dernavich","You'll Have To Phrase It Another Way","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/47-untitled-drew-dernavich.jpg"
"2378","Bruce Eric Kaplan","I Can't Believe You Symbolize Peace When You're","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/68-untitled-bruce-eric-kaplan.jpg"
"2379","Charles Barsotti","New Yorker April 24th, 2006","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/60-untitled-charles-barsotti.jpg"
"2380","Roz Chast","New Yorker September 11th, 2006","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/56-untitled-roz-chast.jpg"
"2381","J.B. Handelsman","No, This Is The Elephant","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/3-untitled-jb-handelsman.jpg"
"2382","Zachary Kanin","Hey, Sisyphus, When You've Got A Minute I'd Like","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/2-untitled-zachary-kanin.jpg"
"2383","Matthew Diffee","Just Don't Be Yourself","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/1-untitled-matthew-diffee.jpg"
"2384","Edward Koren","A Woman With A Glass Of Wine Is Standing","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-woman-with-a-glass-of-wine-is-standing-edward-koren.jpg"
"2385","Roz Chast","Google Translate For Marriagese -- Translated","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/google-translate-for-marriagese-translated-roz-chast.jpg"
"2386","Michael Crawford","A Man With A Handgun Is Talking And Aiming","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-with-a-handgun-is-talking-and-aiming-michael-crawford.jpg"
"2387","William Haefeli","Two Cupcake Friday","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-woman-in-a-cubicle-works-at-a-computer-william-haefeli.jpg"
"2388","Roz Chast","Year At A Glance--a Pie Chart Of The Months","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/year-at-a-glance-a-pie-chart-of-the-months-roz-chast.jpg"
"2389","Roz Chast","Get Well Cards For Moods -- May Your Crap Mood","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/get-well-cards-for-moods-may-your-crap-mood-roz-chast.jpg"
"2390","Roz Chast","Hamlet Vs. Amazon Prime -- Hamlet Debates","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/hamlet-vs-amazon-prime-hamlet-debates-roz-chast.jpg"
"2391","Mick Stevens","Young Dorothy Stands With Little Dog On A Long","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/young-dorothy-stands-with-little-dog-on-a-long-mick-stevens.jpg"
"2392","Charles Barsotti","A Doctor Addresses A Fat Man Who Is Smoking","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-doctor-addresses-a-fat-man-who-is-smoking-charles-barsotti.jpg"
"2393","David Sipress","The Metropolitan Museum Of Cat Videos Thronged","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-metropolitan-museum-of-cat-videos-thronged-david-sipress.jpg"
"2394","Matthew Diffee","A Man And Woman Sit Next To Each Other On A Couch","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-and-woman-sit-next-to-each-other-on-a-couch-matthew-diffee.jpg"
"2395","David Sipress","A Lawyer Representing A Corporation Standing","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-lawyer-representing-a-corporation-standing-david-sipress.jpg"
"2396","Frank Cotham","A Doctor Sitting On A Stool And Writing On A Pad","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-doctor-sitting-on-a-stool-and-writing-on-a-pad-frank-cotham.jpg"
"2397","Julia Suits","Two French Soldiers Look At A Guillotine","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-french-soldiers-look-at-a-guillotine-julia-suits.jpg"
"2398","Roz Chast","A White, Middle-aged Male Is Deemed:","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-white-middle-aged-male-is-deemed-roz-chast.jpg"
"2399","Ken Krimstein","Man Is Blocked By Woman's Set Of Cones","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/man-is-blocked-by-womans-set-of-cones-ken-krimstein.jpg"
"2400","Tom Toro","Two Men At A Bar Discuss The Big Lebowski","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-men-at-a-bar-discuss-the-big-lebowski-tom-toro.jpg"
"2401","Nick Downes","A Doctor Walks Into An Office Where A Patient","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-doctor-walks-into-an-office-where-a-patient-nick-downes.jpg"
"2402","David Sipress","Two Cows On A Farm Talking","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-cows-on-a-farm-talking-david-sipress.jpg"
"2403","Mick Stevens","A Man Explains To His Wife In Their Living Room","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-explains-to-his-wife-in-their-living-room-mick-stevens.jpg"
"2404","Shannon Wheeler","Everything Is Charged","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-throws-his-hands-in-the-air-shannon-wheeler.jpg"
"2405","Gahan Wilson","One Cowboy Talks To A Second Who Is Sitting","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/1-one-cowboy-talks-to-a-second-who-is-sitting-gahan-wilson.jpg"
"2406","Paul Noth","Trump Being Sworn Into Office","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/trump-being-sworn-into-office-paul-noth.jpg"
"2407","Edward Steed","A Woman Addresses Her Husband","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-woman-addresses-her-husband-edward-steed.jpg"
"2408","Tom Toro","A Man Standing By A Fresh Grave After A Funeral","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-standing-by-a-fresh-grave-after-a-funeral-tom-toro.jpg"
"2409","George Booth","A Wife Asks Her Writer-husband","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-wife-asks-her-writer-husband-george-booth.jpg"
"2410","Lee Lorenz","Two Men Sit Next To A Fireplace With Large Piles","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-men-sit-next-to-a-fireplace-with-large-piles-lee-lorenz.jpg"
"2411","Tom Cheney","An Army Of Vikings Hold Briefcases","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/an-army-of-vikings-hold-briefcases-tom-cheney.jpg"
"2412","Kim Warp","A Husband Helps In The Kitchen As His Wife","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-husband-helps-in-the-kitchen-as-his-wife-kim-warp.jpg"
"2413","William Haefeli","A Wife To Her Husband Before She Turns","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-wife-to-her-husband-before-she-turns-william-haefeli.jpg"
"2414","Mitra Farmand","Several Wolves In Sheep's Clothing Converge","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/several-wolves-in-sheeps-clothing-converge-mitra-farmand.jpg"
"2415","Amy Kurzweil","A Scientist Looking Into A Microscope","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-scientist-looking-into-a-microscope-amy-kurzweil.jpg"
"2416","Emily Flake","A Man In A Minivan Speaks To A Woman At A Car","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-in-a-minivan-speaks-to-a-woman-at-a-car-emily-flake.jpg"
"2417","Julia Suits","A Lemming Measures The Drop Off Of A Cliff","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-lemming-measures-the-drop-off-of-a-cliff-julia-suits.jpg"
"2418","Karen Sneider","In The Middle Of Having Sex","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/in-the-middle-of-having-sex-karen-sneider.jpg"
"2419","David Sipress","A Man Consults His Doctor About A Health Problem","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-consults-his-doctor-about-a-health-problem-david-sipress.jpg"
"2420","Barbara Smaller","A Student Speaks To A College Administrator","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-student-speaks-to-a-college-administrator-barbara-smaller.jpg"
"2421","Ariel Molvig","A Man Wearing A Striped Sweater Introduces","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-wearing-a-striped-sweater-introduces-ariel-molvig.jpg"
